Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
Trainspotting	1996	8.1	Danny Boyle (dir.), Ewan McGregor, Ewen Bremner	8.1 based on 537,214 user ratings	http://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156	537214	[Movie URL](http://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156)	Danny Boyle	Ewan McGregor	Ewen Bremner
Gran Torino	2008	8.1	Clint Eastwood (dir.), Clint Eastwood, Bee Vang	8.1 based on 616,227 user ratings	http://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157	616227	[Movie URL](http://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157)	Clint Eastwood	Clint Eastwood	Bee Vang
Gone with the Wind	1939	8.1	Victor Fleming (dir.), Clark Gable, Vivien Leigh	8.1 based on 238,118 user ratings	http://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158	238118	[Movie URL](http://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158)	Victor Fleming	Clark Gable	Vivien Leigh
The Deer Hunter	1978	8.1	Michael Cimino (dir.), Robert De Niro, Christopher Walken	8.1 based on 257,352 user ratings	http://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159	257352	[Movie URL](http://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159)	Michael Cimino	Robert De Niro	Christopher Walken
Sunrise: A Song of Two Humans	1927	8.1	F.W. Murnau (dir.), George O'Brien, Janet Gaynor	8.1 based on 34,454 user ratings	http://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160	34454	[Movie URL](http://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160)	F.W. Murnau	George O'Brien	Janet Gaynor
The Sixth Sense	1999	8.1	M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment	8.1 based on 774,771 user ratings	http://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161	774771	[Movie URL](http://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161)	M. Night Shyamalan	Bruce Willis	Haley Joel Osment
Fargo	1996	8.1	Joel Coen (dir.), William H. Macy, Frances McDormand	8.1 based on 506,778 user ratings	http://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162	506778	[Movie URL](http://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162)	Joel Coen	William H. Macy	Frances McDormand
The Thing	1982	8.1	John Carpenter (dir.), Kurt Russell, Wilford Brimley	8.1 based on 292,633 user ratings	http://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163	292633	[Movie URL](http://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163)	John Carpenter	Kurt Russell	Wilford Brimley
No Country for Old Men	2007	8.1	Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem	8.1 based on 688,043 user ratings	http://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164	688043	[Movie URL](http://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164)	Ethan Coen	Tommy Lee Jones	Javier Bardem
Andrei Rublev	1966	8.1	Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov	8.1 based on 28,907 user ratings	http://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165	28907	[Movie URL](http://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165)	Andrei Tarkovsky	Anatoliy Solonitsyn	Ivan Lapikov
