Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
Million Dollar Baby	2004	8.1	Clint Eastwood (dir.), Hilary Swank, Clint Eastwood	8.1 based on 534,738 user ratings	http://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205	534738	[Movie URL](http://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205)	Clint Eastwood	Hilary Swank	Clint Eastwood
Spotlight	2015	8.1	Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton	8.1 based on 295,912 user ratings	http://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206	295912	[Movie URL](http://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206)	Tom McCarthy	Mark Ruffalo	Michael Keaton
Stalker	1979	8.1	Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy	8.1 based on 80,744 user ratings	http://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207	80744	[Movie URL](http://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207)	Andrei Tarkovsky	Alisa Freyndlikh	Aleksandr Kaydanovskiy
The Truman Show	1998	8.1	Peter Weir (dir.), Jim Carrey, Ed Harris	8.1 based on 750,764 user ratings	http://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208	750764	[Movie URL](http://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208)	Peter Weir	Jim Carrey	Ed Harris
Amores perros	2000	8.1	Alejandro González Iñárritu (dir.), Emilio Echevarría, Gael García Bernal	8.1 based on 189,755 user ratings	http://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209	189755	[Movie URL](http://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209)	Alejandro González Iñárritu	Emilio Echevarría	Gael García Bernal
Butch Cassidy and the Sundance Kid	1969	8.1	George Roy Hill (dir.), Paul Newman, Robert Redford	8.1 based on 168,488 user ratings	http://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210	168488	[Movie URL](http://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210)	George Roy Hill	Paul Newman	Robert Redford
Hachi: A Dog's Tale	2009	8.1	Lasse Hallström (dir.), Richard Gere, Joan Allen	8.1 based on 190,159 user ratings	http://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211	190159	[Movie URL](http://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211)	Lasse Hallström	Richard Gere	Joan Allen
Kaze no tani no Naushika	1984	8.1	Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura	8.1 based on 110,814 user ratings	http://www.imdb.com/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212	110814	[Movie URL](http://www.imdb.com/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212)	Hayao Miyazaki	Sumi Shimamoto	Mahito Tsujimura
Before Sunrise	1995	8.1	Richard Linklater (dir.), Ethan Hawke, Julie Delpy	8.1 based on 210,246 user ratings	http://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213	210246	[Movie URL](http://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213)	Richard Linklater	Ethan Hawke	Julie Delpy
The Princess Bride	1987	8.1	Rob Reiner (dir.), Cary Elwes, Mandy Patinkin	8.1 based on 324,850 user ratings	http://www.imdb.com/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214	324850	[Movie URL](http://www.imdb.com/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214)	Rob Reiner	Cary Elwes	Mandy Patinkin
The Maltese Falcon	1941	8.1	John Huston (dir.), Humphrey Bogart, Mary Astor	8.1 based on 125,499 user ratings	http://www.imdb.com/title/tt0033870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215	125499	[Movie URL](http://www.imdb.com/title/tt0033870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215)	John Huston	Humphrey Bogart	Mary Astor
Paper Moon	1973	8	Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal	8.0 based on 27,608 user ratings	http://www.imdb.com/title/tt0070510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216	27608	[Movie URL](http://www.imdb.com/title/tt0070510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216)	Peter Bogdanovich	Ryan O'Neal	Tatum O'Neal
Prisoners	2013	8	Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal	8.0 based on 459,178 user ratings	http://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217	459178	[Movie URL](http://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217)	Denis Villeneuve	Hugh Jackman	Jake Gyllenhaal
Le notti di Cabiria	1957	8	Federico Fellini (dir.), Giulietta Masina, François Périer	8.0 based on 30,795 user ratings	http://www.imdb.com/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218	30795	[Movie URL](http://www.imdb.com/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218)	Federico Fellini	Giulietta Masina	François Périer
Harry Potter and the Deathly Hallows: Part 2	2011	8	David Yates (dir.), Daniel Radcliffe, Emma Watson	8.0 based on 617,139 user ratings	http://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_219	617139	[Movie URL](http://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_219)	David Yates	Daniel Radcliffe	Emma Watson
The Grapes of Wrath	1940	8	John Ford (dir.), Henry Fonda, Jane Darwell	8.0 based on 70,497 user ratings	http://www.imdb.com/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_220	70497	[Movie URL](http://www.imdb.com/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_220)	John Ford	Henry Fonda	Jane Darwell
Catch Me If You Can	2002	8	Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks	8.0 based on 622,618 user ratings	http://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221	622618	[Movie URL](http://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221)	Steven Spielberg	Leonardo DiCaprio	Tom Hanks
Rocky	1976	8	John G. Avildsen (dir.), Sylvester Stallone, Talia Shire	8.0 based on 423,369 user ratings	http://www.imdb.com/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_222	423369	[Movie URL](http://www.imdb.com/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_222)	John G. Avildsen	Sylvester Stallone	Talia Shire
Les diaboliques	1955	8	Henri-Georges Clouzot (dir.), Simone Signoret, Véra Clouzot	8.0 based on 47,797 user ratings	http://www.imdb.com/title/tt0046911/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_223	47797	[Movie URL](http://www.imdb.com/title/tt0046911/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_223)	Henri-Georges Clouzot	Simone Signoret	Véra Clouzot
Touch of Evil	1958	8	Orson Welles (dir.), Charlton Heston, Orson Welles	8.0 based on 80,653 user ratings	http://www.imdb.com/title/tt0052311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_224	80653	[Movie URL](http://www.imdb.com/title/tt0052311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_224)	Orson Welles	Charlton Heston	Orson Welles
Monsters, Inc.	2001	8	Pete Docter (dir.), Billy Crystal, John Goodman	8.0 based on 660,446 user ratings	http://www.imdb.com/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_225	660446	[Movie URL](http://www.imdb.com/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_225)	Pete Docter	Billy Crystal	John Goodman
Gandhi	1982	8	Richard Attenborough (dir.), Ben Kingsley, John Gielgud	8.0 based on 189,292 user ratings	http://www.imdb.com/title/tt0083987/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_226	189292	[Movie URL](http://www.imdb.com/title/tt0083987/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_226)	Richard Attenborough	Ben Kingsley	John Gielgud
Donnie Darko	2001	8	Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone	8.0 based on 642,856 user ratings	http://www.imdb.com/title/tt0246578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_227	642856	[Movie URL](http://www.imdb.com/title/tt0246578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_227)	Richard Kelly	Jake Gyllenhaal	Jena Malone
Barry Lyndon	1975	8	Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson	8.0 based on 114,451 user ratings	http://www.imdb.com/title/tt0072684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228	114451	[Movie URL](http://www.imdb.com/title/tt0072684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228)	Stanley Kubrick	Ryan O'Neal	Marisa Berenson
Annie Hall	1977	8	Woody Allen (dir.), Woody Allen, Diane Keaton	8.0 based on 216,749 user ratings	http://www.imdb.com/title/tt0075686/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_229	216749	[Movie URL](http://www.imdb.com/title/tt0075686/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_229)	Woody Allen	Woody Allen	Diane Keaton
The Terminator	1984	8	James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton	8.0 based on 664,489 user ratings	http://www.imdb.com/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_230	664489	[Movie URL](http://www.imdb.com/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_230)	James Cameron	Arnold Schwarzenegger	Linda Hamilton
The Bourne Ultimatum	2007	8	Paul Greengrass (dir.), Matt Damon, Edgar Ramírez	8.0 based on 542,478 user ratings	http://www.imdb.com/title/tt0440963/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_231	542478	[Movie URL](http://www.imdb.com/title/tt0440963/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_231)	Paul Greengrass	Matt Damon	Edgar Ramírez
Star Wars: Episode VII - The Force Awakens	2015	8	J.J. Abrams (dir.), Daisy Ridley, John Boyega	8.0 based on 699,766 user ratings	http://www.imdb.com/title/tt2488496/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232	699766	[Movie URL](http://www.imdb.com/title/tt2488496/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232)	J.J. Abrams	Daisy Ridley	John Boyega
The Wizard of Oz	1939	8	Victor Fleming (dir.), Judy Garland, Frank Morgan	8.0 based on 320,502 user ratings	http://www.imdb.com/title/tt0032138/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233	320502	[Movie URL](http://www.imdb.com/title/tt0032138/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233)	Victor Fleming	Judy Garland	Frank Morgan
Groundhog Day	1993	8	Harold Ramis (dir.), Bill Murray, Andie MacDowell	8.0 based on 489,669 user ratings	http://www.imdb.com/title/tt0107048/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_234	489669	[Movie URL](http://www.imdb.com/title/tt0107048/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_234)	Harold Ramis	Bill Murray	Andie MacDowell
La haine	1995	8	Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé	8.0 based on 117,063 user ratings	http://www.imdb.com/title/tt0113247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_235	117063	[Movie URL](http://www.imdb.com/title/tt0113247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_235)	Mathieu Kassovitz	Vincent Cassel	Hubert Koundé
8½	1963	8	Federico Fellini (dir.), Marcello Mastroianni, Anouk Aimée	8.0 based on 87,867 user ratings	http://www.imdb.com/title/tt0056801/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_236	87867	[Movie URL](http://www.imdb.com/title/tt0056801/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_236)	Federico Fellini	Marcello Mastroianni	Anouk Aimée
Munna Bhai M.B.B.S.	2003	8	Rajkumar Hirani (dir.), Sunil Dutt, Sanjay Dutt	8.0 based on 56,083 user ratings	http://www.imdb.com/title/tt0374887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_237	56083	[Movie URL](http://www.imdb.com/title/tt0374887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_237)	Rajkumar Hirani	Sunil Dutt	Sanjay Dutt
Jaws	1975	8	Steven Spielberg (dir.), Roy Scheider, Robert Shaw	8.0 based on 460,601 user ratings	http://www.imdb.com/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_238	460601	[Movie URL](http://www.imdb.com/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_238)	Steven Spielberg	Roy Scheider	Robert Shaw
The Best Years of Our Lives	1946	8	William Wyler (dir.), Myrna Loy, Dana Andrews	8.0 based on 45,103 user ratings	http://www.imdb.com/title/tt0036868/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_239	45103	[Movie URL](http://www.imdb.com/title/tt0036868/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_239)	William Wyler	Myrna Loy	Dana Andrews
Twelve Monkeys	1995	8	Terry Gilliam (dir.), Bruce Willis, Madeleine Stowe	8.0 based on 505,252 user ratings	http://www.imdb.com/title/tt0114746/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_240	505252	[Movie URL](http://www.imdb.com/title/tt0114746/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_240)	Terry Gilliam	Bruce Willis	Madeleine Stowe
Mou gaan dou	2002	8	Wai-Keung Lau (dir.), Andy Lau, Tony Chiu-Wai Leung	8.0 based on 101,489 user ratings	http://www.imdb.com/title/tt0338564/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241	101489	[Movie URL](http://www.imdb.com/title/tt0338564/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241)	Wai-Keung Lau	Andy Lau	Tony Chiu-Wai Leung
Faa yeung nin wa	2000	8	Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung	8.0 based on 88,649 user ratings	http://www.imdb.com/title/tt0118694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242	88649	[Movie URL](http://www.imdb.com/title/tt0118694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242)	Kar-Wai Wong	Tony Chiu-Wai Leung	Maggie Cheung
Paris, Texas	1984	8	Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski	8.0 based on 59,315 user ratings	http://www.imdb.com/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243	59315	[Movie URL](http://www.imdb.com/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243)	Wim Wenders	Harry Dean Stanton	Nastassja Kinski
