Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
The Shawshank Redemption	1994	9.2	Frank Darabont (dir.), Tim Robbins, Morgan Freeman	9.2 based on 1,884,273 user ratings	http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1	1884273	[ url](http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1)	Frank Darabont	Tim Robbins	Morgan Freeman
The Godfather	1972	9.2	Francis Ford Coppola (dir.), Marlon Brando, Al Pacino	9.2 based on 1,286,442 user ratings	http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2	1286442	[ url](http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2)	Francis Ford Coppola	Marlon Brando	Al Pacino
The Godfather: Part II	1974	9	Francis Ford Coppola (dir.), Al Pacino, Robert De Niro	9.0 based on 887,417 user ratings	http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3	887417	[ url](http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3)	Francis Ford Coppola	Al Pacino	Robert De Niro
The Dark Knight	2008	9	Christopher Nolan (dir.), Christian Bale, Heath Ledger	9.0 based on 1,860,207 user ratings	http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4	1860207	[ url](http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4)	Christopher Nolan	Christian Bale	Heath Ledger
12 Angry Men	1957	8.9	Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb	8.9 based on 516,905 user ratings	http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5	516905	[ url](http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5)	Sidney Lumet	Henry Fonda	Lee J. Cobb
Schindler's List	1993	8.9	Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes	8.9 based on 968,745 user ratings	http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6	968745	[ url](http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6)	Steven Spielberg	Liam Neeson	Ralph Fiennes
Pulp Fiction	1994	8.9	Quentin Tarantino (dir.), John Travolta, Uma Thurman	8.9 based on 1,473,960 user ratings	http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7	1473960	[ url](http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7)	Quentin Tarantino	John Travolta	Uma Thurman
The Lord of the Rings: The Return of the King	2003	8.9	Peter Jackson (dir.), Elijah Wood, Viggo Mortensen	8.9 based on 1,346,508 user ratings	http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8	1346508	[ url](http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8)	Peter Jackson	Elijah Wood	Viggo Mortensen
Il buono, il brutto, il cattivo	1966	8.8	Sergio Leone (dir.), Clint Eastwood, Eli Wallach	8.8 based on 558,227 user ratings	http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9	558227	[ url](http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9)	Sergio Leone	Clint Eastwood	Eli Wallach
Fight Club	1999	8.8	David Fincher (dir.), Brad Pitt, Edward Norton	8.8 based on 1,510,275 user ratings	http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10	1510275	[ url](http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10)	David Fincher	Brad Pitt	Edward Norton
